8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
8 -8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
-8 8
8 -8
-24 24
24 -24
-24 24
24 -24
-24 24
24 -24
0 0
24 -24
24 -24
0 0
-24 24
-24 24
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
-4 4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
4 -4
-4 4
-4 4
4 -4
0 0
0 0
0 0
0 0
